id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2022-07-16T08:51:06;RAM systemic;PAID;CASH_ON_DELIVERY;2022-07-16T13:17:01;5801;Infrastructure gold Grove;1
2;2022-07-16T05:41:12;Soft program;CANCELLED;CREDIT_CARD;2022-07-16T08:15:36;92692;Consultant;2
3;2022-07-16T15:18:17;reciprocal;ISSUED;PAYPAL;2022-07-16T12:53:58;56857;Home;3
4;2022-07-16T16:52:14;Bhutanese;CANCELLED;PAYPAL;2022-07-16T18:41:47;87472;parse intuitive Division;4
5;2022-07-16T07:38:32;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2022-07-16T06:03:42;98367;Gloves visualize;5
6;2022-07-16T02:18:40;function;CANCELLED;CREDIT_CARD;2022-07-16T21:09:26;85471;Director;6
7;2022-07-16T18:02:14;Maine;PAID;CREDIT_CARD;2022-07-16T03:18:28;11254;customized hub;7
8;2022-07-16T12:37:00;Agent Towels Groves;PAID;PAYPAL;2022-07-16T02:56:43;83224;interactive deposit Electronics;8
9;2022-07-16T05:05:20;Concrete Toys Plains;PAID;CREDIT_CARD;2022-07-16T10:35:41;34085;Wooden Intuitive applications;9
10;2022-07-16T21:55:21;Arizona Vermont system;ISSUED;CREDIT_CARD;2022-07-16T08:07:58;6974;CSS;10
